1a|Hwæt! wē Gār-Dena
2726a|þæt hē dæg‐hwīla
2726b|gedrogen hæfde
2727a|eorðan wynne;
2727b|þā wæs eall sceacen
2728a|dōgor‐gerīmes,
2728b|dēað ungemete nēah):
2729a|"Nū ic suna mīnum
2729b|syllan wolde
2730a|gūð‐gewǣdu,
2730b|þǣr mē gifeðe swā
2731a|ǣnig yrfe‐weard
2731b|æfter wurde,
2732a|līce gelenge.
2732b|Ic þās lēode hēold
2733a|fīftig wintra:
2733b|næs se folc‐cyning
2734a|ymbe‐sittendra
2734b|ǣnig þāra,
2735a|þē mec gūð‐winum
2735b|grētan dorste,
2736a|egesan þēon.
2736b|Ic on earde bād
2737a|mǣl‐gesceafta,
2737b|hēold mīn tela,
2738a|ne sōhte searo‐nīðas,
2738b|nē mē swōr fela
2739a|āða on unriht.
2739b|Ic þæs ealles mæg,
2740a|feorh‐bennum sēoc,
2740b|gefēan habban:
2741a|forþām mē wītan ne þearf
2741b|waldend fīra
2742a|morðor‐bealo māga,
2742b|þonne mīn sceaceð
2743a|līf of līce.
2743b|Nū þū lungre
2744a|geong, hord scēawian
2744b|under hārne stān,
2745a|Wīglāf lēofa,
2745b|nū se wyrm ligeð,
2746a|swefeð sāre wund,
2746b|since berēafod.
2747a|Bīo nū on ofoste,
2747b|þæt ic ǣr‐welan,
2748a|gold‐ǣht ongite,
2748b|gearo scēawige
2749a|swegle searo‐gimmas,
2749b|þæt ic þȳ sēft mǣge
2750a|æfter māððum‐welan
2750b|mīn ālǣtan
2751a|līf and lēod‐scipe,
2751b|þone ic longe hēold."
2752a|Þā ic snūde gefrægn
2752b|sunu Wīhstānes
2753a|æfter word‐cwydum
2753b|wundum dryhtne
2754a|hȳran heaðo‐sīocum,
2754b|hring‐net beran,
2755a|brogdne beadu‐sercean
2755b|under beorges hrōf.
2756a|Geseah þā sige‐hrēðig,
2756b|þā hē bī sesse gēong,
2757a|mago‐þegn mōdig
2757b|māððum‐sigla fela,
2758a|gold glitinian
2758b|grunde getenge,
2759a|wundur on wealle
2759b|and þæs wyrmes denn,
2760a|ealdes ūht‐flogan,
2760b|orcas stondan,
2761a|fyrn‐manna fatu
2761b|feormend‐lēase,
2762a|hyrstum behrorene:
2762b|þǣr wæs helm monig,
2763a|eald and ōmig,
2763b|earm‐bēaga fela,
2764a|searwum gesǣled.
2764b|Sinc ēaðe mæg,
2765a|gold on grunde,
2765b|gumena cynnes
2766a|gehwone ofer‐hīgian,
2766b|hȳde sē þe wylle!
2767a|Swylce hē siomian geseah
2767b|segn eall‐gylden
2768a|hēah ofer horde,
2768b|hond‐wundra mǣst,
2769a|gelocen leoðo‐cræftum:
2769b|of þām lēoma stōd,
2770a|þæt hē þone grund‐wong
2770b|ongitan meahte,
2771a|wrǣte giond‐wlītan.
2771b|Næs þæs wyrmes þǣr
2772a|onsȳn ǣnig,
2772b|ac hyne ecg fornam.
2773a|Þā ic on hlǣwe
2773b|gefrægn hord rēafian,
2774a|eald enta geweorc
2774b|ānne mannan,
2775a|him on bearm hladan
2775b|bunan and discas
2776a|sylfes dōme,
2776b|segn ēac genom,
2777a|bēacna beorhtost;
2777b|bill ǣr‐gescōd
2778a|(ecg wæs īren)
2778b|eald‐hlāfordes
2779a|þām þāra māðma
2779b|mund‐bora wæs
2780a|longe hwīle,
2780b|līg‐egesan wæg
2781a|hātne for horde,
2781b|hioro‐weallende,
2782a|middel‐nihtum,
2782b|oð þæt hē morðre swealt.
2783a|Ār wæs on ofoste
2783b|eft‐sīðes georn,
2784a|frætwum gefyrðred:
2784b|hyne fyrwet bræc,
2785a|hwæðer collen‐ferð
2785b|cwicne gemētte
2786a|in þām wong‐stede
2786b|Wedra þēoden,
2787a|ellen‐sīocne,
2787b|þǣr hē hine ǣr forlēt.
2788a|Hē þā mid þām māðmum
2788b|mǣrne þīoden,
2789a|dryhten sīnne
2789b|drīorigne fand
2790a|ealdres æt ende:
2790b|hē hine eft ongon
2791a|wæteres weorpan,
2791b|oð þæt wordes ord
2792a|brēost‐hord þurhbræc.
2792b|Bēowulf maðelode,
2793a|gomel on giohðe
2793b|(gold scēawode):
2794a|"Ic þāra frætwa
2794b|frēan ealles þanc
2795a|wuldur‐cyninge
2795b|wordum secge,
2796a|ēcum dryhtne,
2796b|þē ic hēr on starie,
2797a|þæs þe ic mōste
2797b|mīnum lēodum
2798a|ǣr swylt‐dæge
2798b|swylc gestrȳnan.
2799a|Nū ic on māðma hord
2799b|mīne bebohte
2800a|frōde feorh‐lege,
2800b|fremmað gē nū
2801a|lēoda þearfe;
2801b|ne mæg ic hēr leng wesan.
2802a|Hātað heaðo‐mǣre
2802b|hlǣw gewyrcean,
2803a|beorhtne æfter bǣle
2803b|æt brimes nosan;
2804a|se scel tō gemyndum
2804b|mīnum lēodum
2805a|hēah hlīfian
2805b|on Hrones næsse,
2806a|þæt hit sǣ‐līðend
2806b|syððan hātan
2807a|Bīowulfes biorh,
2807b|þā þe brentingas
2808a|ofer flōda genipu
2808b|feorran drīfað."
2809a|Dyde him of healse
2809b|hring gyldenne
2810a|þīoden þrīst‐hȳdig,
2810b|þegne gesealde,
2811a|geongum gār‐wigan,
2811b|gold‐fāhne helm,
2812a|bēah and byrnan,
2812b|hēt hyne brūcan well:
2813a|"Þū eart ende‐lāf
2813b|ūsses cynnes,
2814a|Wǣgmundinga;
2814b|ealle Wyrd forswēof,
2815a|mīne māgas
2815b|tō metod‐sceafte,
2816a|eorlas on elne:
2816b|ic him æfter sceal."
2817a|Þæt wæs þām gomelan
2817b|gingeste word
2818a|brēost‐gehygdum,
2818b|ǣr hē bǣl cure,
2819a|hāte heaðo‐wylmas:
2819b|him of hreðre gewāt
2820a|sāwol sēcean
2820b|sōð‐fæstra dōm.
2821a|Þā wæs gegongen
2821b|guman unfrōdum
2822a|earfoðlīce,
2822b|þæt hē on eorðan geseah
2823a|þone lēofestan
2823b|līfes æt ende
2824a|blēate gebǣran.
2824b|Bona swylce læg,
2825a|egeslīc eorð‐draca,
2825b|ealdre berēafod,
2826a|bealwe gebǣded:
2826b|bēah‐hordum leng
2827a|wyrm wōh‐bogen
2827b|wealdan ne mōste,
2828a|ac him īrenna
2828b|ecga fornāmon,
2829a|hearde heaðo‐scearpe
2829b|homera lāfe,
2830a|þæt se wīd‐floga
2830b|wundum stille
2831a|hrēas on hrūsan
2831b|hord‐ærne nēah,
2832a|nalles æfter lyfte
2832b|lācende hwearf
2833a|middel‐nihtum,
2833b|māðm‐ǣhta wlonc
2834a|ansȳn ȳwde:
2834b|ac hē eorðan gefēoll
2835a|for þæs hild‐fruman
2835b|hond‐geweorce.
2836a|Hūru þæt on lande
2836b|lȳt manna þāh
2837a|mægen‐āgendra
2837b|mīne gefrǣge,
2838a|þēah þe hē dǣda gehwæs
2838b|dyrstig wǣre,
2839a|þæt hē wið attor‐sceaðan
2839b|oreðe gerǣsde,
2840a|oððe hring‐sele
2840b|hondum styrede,
2841a|gif hē wæccende
2841b|weard onfunde
2842a|būan on beorge.
2842b|Bīowulfe wearð
2843a|dryht‐māðma dǣl
2843b|dēaðe forgolden;
2844a|hæfde ǣghwæðer
2844b|ende gefēred
2845a|lǣnan līfes.
2845b|Næs þā lang tō þon,
2846a|þæt þā hild‐latan
2846b|holt ofgēfan,
2847a|tȳdre trēow‐logan
2847b|tȳne ætsomne,
2848a|þā ne dorston ǣr
2848b|dareðum lācan
2849a|on hyra man‐dryhtnes
2849b|miclan þearfe;
2850a|ac hȳ scamiende
2850b|scyldas bǣran,
2851a|gūð‐gewǣdu,
2851b|þǣr se gomela læg:
2852a|wlitan on Wīglāf.
2852b|Hē gewērgad sæt,
2853a|fēðe‐cempa
2853b|frēan eaxlum nēah,
2854a|wehte hyne wætre;
2854b|him wiht ne spēow;
2855a|ne meahte hē on eorðan,
2855b|þēah hē ūðe wēl,
2856a|on þām frum‐gāre
2856b|feorh gehealdan,
2857a|nē þæs wealdendes willan
2857b|wiht oncirran;
2858a|wolde dōm godes
2858b|dǣdum rǣdan
2859a|gumena gehwylcum,
2859b|swā hē nū gēn dēð.
2860a|Þā wæs æt þām geongan
2860b|grim andswaru
2861a|ēð‐begēte þām þe ǣr
2861b|his elne forlēas.
2862a|Wīglāf maðelode,
2862b|Wēohstānes sunu,
2863a|secg sārig‐ferð
2863b|seah on unlēofe:
2864a|"Þæt lā mæg secgan,
2864b|sē þe wyle sōð sprecan,
2865a|þæt se mon‐dryhten,
2865b|se ēow þā māðmas geaf,
2866a|ēored‐geatwe,
2866b|þē gē þǣr on standað,
2867a|þonne hē on ealu‐bence
2867b|oft gesealde
2868a|heal‐sittendum
2868b|helm and byrnan,
2869a|þēoden his þegnum,
2869b|swylce hē þrȳðlīcost
2870a|ōhwǣr feor oððe nēah
2870b|findan meahte,
2871a|þæt hē gēnunga
2871b|gūð‐gewǣdu
2872a|wrāðe forwurpe.
2872b|Þā hyne wīg beget,
2873a|nealles folc‐cyning
2873b|fyrd‐gesteallum
2874a|gylpan þorfte;
2874b|hwæðre him god ūðe,
2875a|sigora waldend,
2875b|þæt hē hyne sylfne gewræc
2876a|āna mid ecge,
2876b|þā him wæs elnes þearf,
2877a|Ic him līf‐wraðe
2877b|lȳtle meahte
2878a|ætgifan æt gūðe
2878b|and ongan swā þēah
2879a|ofer mīn gemet
2879b|mǣges helpan:
2880a|symle wæs þȳ sǣmra,
2880b|þonne ic sweorde drep
2881a|ferhð‐genīðlan,
2881b|fȳr unswīðor
2882a|wēoll of gewitte.
2882b|Wergendra tō lȳt
2883a|þrong ymbe þēoden,
2883b|þā hyne sīo þrāg becwōm.
2884a|Nū sceal sinc‐þego
2884b|and swyrd‐gifu
2885a|eall ēðel‐wyn
2885b|ēowrum cynne,
2886a|lufen ālicgean:
2886b|lond‐rihtes mōt
2887a|þǣre mǣg‐burge
2887b|monna ǣghwylc
2888a|īdel hweorfan,
2888b|syððan æðelingas
2889a|feorran gefricgean
2889b|flēam ēowerne,
2890a|dōm‐lēasan dǣd.
2890b|Dēað bið sēlla
2891a|eorla gehwylcum
2891b|þonne edwīt‐līf!"
2892a|Heht þā þæt heaðo‐weorc
2892b|tō hagan bīodan
2893a|up ofer ēg‐clif,
2893b|þǣr þæt eorl‐weorod
2894a|morgen‐longne dæg
2894b|mōd‐giōmor sæt,
2895a|bord‐hæbbende,
2895b|bēga on wēnum
2896a|ende‐dōgores
2896b|and eft‐cymes
2897a|lēofes monnes.
2897b|Lȳt swīgode
2898a|nīwra spella,
2898b|sē þe næs gerād,
2899a|ac hē sōðlīce
2899b|sægde ofer ealle;
2900a|"Nū is wil‐geofa
2900b|Wedra lēoda,
2901a|dryhten Gēata
2901b|dēað‐bedde fæst,
2902a|wunað wæl‐reste
2902b|wyrmes dǣdum;
2903a|him on efn ligeð
2903b|ealdor‐gewinna,
2904a|siex‐bennum sēoc:
2904b|sweorde ne meahte
2905a|on þām āglǣcean
2905b|ǣnige þinga
2906a|wunde gewyrcean.
2906b|Wīglāf siteð
2907a|ofer Bīowulfe,
2907b|byre Wīhstānes,
2908a|eorl ofer ōðrum
2908b|unlifigendum,
2909a|healdeð hige‐mēðum
2909b|hēafod‐wearde
2910a|lēofes and lāðes.
2910b|Nū ys lēodum wēn
2911a|orleg‐hwīle,
2911b|syððan underne
2912a|Froncum and Frȳsum
2912b|fyll cyninges
2913a|wīde weorðeð.
2913b|Wæs sīo wrōht scepen
2914a|heard wið Hūgas,
2914b|syððan Higelāc cwōm
2915a|faran flot‐herge
2915b|on Frēsna land,
2916a|þǣr hyne Hetware
2916b|hilde gehnǣgdon,
2917a|elne geēodon
2917b|mid ofer‐mægene,
2918a|þæt se byrn‐wiga
2918b|būgan sceolde,
2919a|fēoll on fēðan:
2919b|nalles frætwe geaf
2920a|ealdor dugoðe;
2920b|ūs wæs ā syððan
2921a|Merewīoinga
2921b|milts ungyfeðe.
2922a|Nē ic tō Swēo‐þēode
2922b|sibbe oððe trēowe
2923a|wihte ne wēne;
2923b|ac wæs wīde cūð,
2924a|þætte Ongenþīo
2924b|ealdre besnyðede
2925a|Hæðcyn Hrēðling
2925b|wið Hrefna‐wudu,
2926a|þā for on‐mēdlan
2926b|ǣrest gesōhton
2927a|Gēata lēode
2927b|Gūð‐scilfingas.
2928a|Sōna him se frōda
2928b|fæder Ōhtheres,
2929a|eald and eges‐full
2929b|ond‐slyht āgeaf,
2930a|ābrēot brim‐wīsan,
2930b|brȳd āhēorde,
2931a|gomela īo‐meowlan
2931b|golde berofene,
2932a|Onelan mōdor
2932b|and Ōhtheres,
2933a|and þā folgode
2933b|feorh‐genīðlan
2934a|oð þæt hī oðēodon
2934b|earfoðlīce
2935a|in Hrefnes‐holt
2935b|hlāford‐lēase.
2936a|Besæt þā sin‐herge
2936b|sweorda lāfe
2937a|wundum wērge,
2937b|wēan oft gehēt
2938a|earmre teohhe
2938b|andlonge niht:
2939a|cwæð hē on mergenne
2939b|mēces ecgum
2940a|gētan wolde,
2940b|sume on galg‐trēowum
2941a|fuglum tō gamene.
2941b|Frōfor eft gelamp
2942a|sārig‐mōdum
2942b|somod ǣr‐dæge,
2943a|syððan hīe Hygelāces
2943b|horn and bȳman
2944a|gealdor ongeāton.
2944b|Þā se gōda cōm
2945a|lēoda dugoðe
2945b|on lāst faran.
2946a|"Wæs sīo swāt‐swaðu
2946b|Swēona and Gēata,
2947a|wæl‐rǣs wera
2947b|wīde gesȳne,
2948a|hū þā folc mid him
2948b|fǣhðe tōwehton.
2949a|Gewāt him þā se gōda
2949b|mid his gædelingum,
2950a|frōd fela geōmor
2950b|fæsten sēcean,
2951a|eorl Ongenþīo
2951b|ufor oncirde;
2952a|hæfde Higelāces
2952b|hilde gefrūnen,
2953a|wlonces wīg‐cræft,
2953b|wiðres ne truwode,
2954a|þæt hē sǣ‐mannum
2954b|onsacan mihte,
2955a|hēaðo‐līðendum
2955b|hord forstandan,
2956a|bearn and brȳde;
2956b|bēah eft þonan
2957a|eald under eorð‐weall.
2957b|Þā wæs ǣht boden
2958a|Swēona lēodum,
2958b|segn Higelāce.
2959a|Freoðo‐wong þone
2959b|forð oferēodon,
2960a|syððan Hrēðlingas
2960b|tō hagan þrungon.
2961a|Þǣr wearð Ongenþīo
2961b|ecgum sweorda,
2962a|blonden‐fexa
2962b|on bīd wrecen,
2963a|þæt se þēod‐cyning
2963b|þafian sceolde
2964a|Eofores ānne dōm:
2964b|hyne yrringa
2965a|Wulf Wonrēding
2965b|wǣpne gerǣhte,
2966a|þæt him for swenge
2966b|swāt ǣdrum sprong
2967a|forð under fexe.
2967b|Næs hē forht swā þēh,
2968a|gomela Scilfing,
2968b|ac forgeald hraðe
2969a|wyrsan wrixle
2969b|wæl‐hlem þone,
2970a|syððan þēod‐cyning
2970b|þyder oncirde:
2971a|ne meahte se snella
2971b|sunu Wonrēdes
2972a|ealdum ceorle
2972b|ond‐slyht giofan,
2973a|ac hē him on hēafde
2973b|helm ǣr gescer,
2974a|þæt hē blōde fāh
2974b|būgan sceolde,
2975a|fēoll on foldan;
2975b|næs hē fǣge þā gīt,
2976a|ac hē hyne gewyrpte,
2976b|þēah þe him wund hrīne,
2977a|Lēt se hearda
2977b|Higelāces þegn
2978a|brādne mēce,
2978b|þā his brōðor læg,
2979a|eald sweord eotonisc,
2979b|entiscne helm,
2980a|brecan ofer bord‐weal:
2980b|þā gebēah cyning,
2981a|folces hyrde,
2981b|wæs in feorh dropen.
2982a|Þā wǣron monige,
2982b|þē his mǣg wriðon,
2983a|ricone ārǣrdon,
2983b|þā him gerȳmed wearð,
2984a|þæt hīe wæl‐stōwe
2984b|wealdan mōston.
2985a|Þenden rēafode
2985b|rinc ōðerne,
2986a|nam on Ongenþīo
2986b|īren‐byrnan,
2987a|heard swyrd hilted
2987b|and his helm somod;
2988a|hāres hyrste
2988b|Higelāce bær.
2989a|Hē þām frætwum fēng
2989b|and him fægre gehēt
2990a|lēana fore lēodum
2990b|and gelǣste swā:
2991a|geald þone gūð‐rǣs
2991b|Gēata dryhten,
2992a|Hrēðles eafora,
2992b|þā hē tō hām becōm,
2993a|Jofore and Wulfe
2993b|mid ofer‐māðmum,
2994a|sealde hiora gehwæðrum
2994b|hund þūsenda
2995a|landes and locenra bēaga;
2995b|ne þorfte him þā lēan oðwītan
2996a|mon on middan‐gearde,
2996b|syððan hīe þā mǣrða geslōgon;
2997a|and þā Jofore forgeaf
2997b|āngan dōhtor,
2998a|hām‐weorðunge,
2998b|hyldo tō wedde.
2999a|Þæt ys sīo fǣhðo
2999b|and se fēond‐scipe,
3000a|wæl‐nīð wera,
3000b|þæs þe ic wēn hafo,
3001a|þē ūs sēceað tō
3001b|Swēona lēode,
3002a|syððan hīe gefricgeað
3002b|frēan ūserne
3003a|ealdor‐lēasne,
3003b|þone þe ǣr gehēold
3004a|wið hettendum
3004b|hord and rīce,
3005a|æfter hæleða hryre
3005b|hwate Scylfingas,
3006a|folc‐rǣd fremede
3006b|oððe furður gēn
3007a|eorl‐scipe efnde.
3007b|Nū is ofost betost,
3008a|þæt wē þēod‐cyning
3008b|þǣr scēawian
3009a|and þone gebringan,
3009b|þē ūs bēagas geaf,
3010a|on ād‐fære.
3010b|Ne scel ānes hwæt
3011a|meltan mid þām mōdigan,
3011b|ac þǣr is māðma hord.
3012a|gold unrīme
3012b|grimme gecēapod
3013a|and nū æt sīðestan
3013b|sylfes fēore
3014a|bēagas gebohte;
3014b|þā sceal brond fretan,
3015a|ǣled þeccean,
3015b|nalles eorl wegan
3016a|māððum tō gemyndum,
3016b|nē mægð scȳne
3017a|habban on healse
3017b|hring‐weorðunge,
3018a|ac sceall geōmor‐mōd
3018b|golde berēafod
3019a|oft nalles ǣne
3019b|el‐land tredan,
3020a|nū se here‐wīsa
3020b|hleahtor ālegde,
3021a|gamen and glēo‐drēam.
3021b|Forþon sceall gār wesan
3022a|monig morgen‐ceald
3022b|mundum bewunden,
3023a|hæfen on handa,
3023b|nalles hearpan swēg
3024a|wīgend weccean,
3024b|ac se wonna hrefn
3025a|fūs ofer fǣgum,
3025b|fela reordian,
3026a|earne secgan,
3026b|hū him æt ǣte spēow,
3027a|þenden hē wið wulf
3027b|wæl rēafode."
3028a|Swā se secg hwata
3028b|secgende wæs
3029a|lāðra spella;
3029b|hē ne lēag fela
3030a|wyrda nē worda.
3030b|Weorod eall ārās,
3031a|ēodon unblīðe
3031b|under Earna næs
3032a|wollen‐tēare
3032b|wundur scēawian.
3033a|Fundon þā on sande
3033b|sāwul‐lēasne
3034a|hlim‐bed healdan,
3034b|þone þe him hringas geaf
3035a|ǣrran mǣlum:
3035b|þā wæs ende‐dæg
3036a|gōdum gegongen,
3036b|þæt se gūð‐cyning,
3037a|Wedra þēoden,
3037b|wundor‐dēaðe swealt.
3038a|Ǣr hī gesēgan
3038b|syllīcran wiht,
3039a|wyrm on wonge
3039b|wiðer‐ræhtes þǣr
3040a|lāðne licgean:
3040b|wæs se lēg‐draca,
3041a|grimlīc gryre‐gæst,
3041b|glēdum beswǣled,
3042a|sē wæs fīftiges
3042b|fōt‐gemearces.
3043a|lang on legere,
3043b|lyft‐wynne hēold
3044a|nihtes hwīlum,
3044b|nyðer eft gewāt
3045a|dennes nīosian;
3045b|wæs þā dēaðe fæst,
3046a|hæfde eorð‐scrafa
3046b|ende genyttod.
3047a|Him big stōdan
3047b|bunan and orcas,
3048a|discas lāgon
3048b|and dȳre swyrd,
3049a|ōmige þurh‐etone,
3049b|swā hīe wið eorðan fæðm
3050a|þūsend wintra
3050b|þǣr eardodon:
3051a|þonne wæs þæt yrfe
3051b|ēacen‐cræftig,
3052a|iū‐monna gold
3052b|galdre bewunden,
3053a|þæt þām hring‐sele
3053b|hrīnan ne mōste
3054a|gumena ǣnig,
3054b|nefne god sylfa,
3055a|sigora sōð‐cyning,
3055b|sealde þām þe hē wolde
3056a|(hē is manna gehyld)
3056b|hord openian,
3057a|efne swā hwylcum manna,
3057b|swā him gemet þūhte.
3058a|Þā wæs gesȳne,
3058b|þæt se sīð ne þāh
3059a|þām þe unrihte
3059b|inne gehȳdde
3060a|wrǣte under wealle.
3060b|Weard ǣr ofslōh
3061a|fēara sumne;
3061b|þā sīo fǣhð gewearð
3062a|gewrecen wrāðlīce.
3062b|Wundur hwār, þonne
3063a|eorl ellen‐rōf
3063b|ende gefēre
3064a|līf‐gesceafta,
3064b|þonne leng ne mæg
3065a|mon mid his māgum
3065b|medu‐seld būan.
3066a|Swā wæs Bīowulfe,
3066b|þā hē biorges weard
3067a|sōhte, searo‐nīðas:
3067b|seolfa ne cūðe,
3068a|þurh hwæt his worulde gedāl
3068b|weorðan sceolde;
3069a|swā hit oð dōmes dæg
3069b|dīope benemdon
3070a|þēodnas mǣre,
3070b|þā þæt þǣr dydon,
3071a|þæt se secg wǣre
3071b|synnum scildig,
3072a|hergum geheaðerod,
3072b|hell‐bendum fæst,
3073a|wommum gewītnad,
3073b|sē þone wong strāde.
3074a|Næs hē gold‐hwæt:
3074b|gearwor hæfde
3075a|āgendes ēst
3075b|ǣr gescēawod.
3076a|Wīglāf maðelode,
3076b|Wīhstānes sunu:
3077a|"Oft sceall eorl monig
3077b|ānes willan
3078a|wrǣc ādrēogan,
3078b|swā ūs geworden is.
3079a|Ne meahton wē gelǣran
3079b|lēofne þēoden,
3080a|rīces hyrde
3080b|rǣd ǣnigne,
3081a|þæt hē ne grētte
3081b|gold‐weard þone,
3082a|lēte hyne licgean,
3082b|þǣr hē longe wæs,
3083a|wīcum wunian
3083b|oð woruld‐ende.
3084a|Hēoldon hēah gesceap:
3084b|hord ys gescēawod,
3085a|grimme gegongen;
3085b|wæs þæt gifeðe tō swīð,
3086a|þē þone þēoden
3086b|þyder ontyhte.
3087a|Ic wæs þǣr inne
3087b|and þæt eall geond‐seh,
3088a|recedes geatwa,
3088b|þā mē gerȳmed wæs,
3089a|nealles swǣslīce
3089b|sīð ālȳfed
3090a|inn under eorð‐weall.
3090b|Ic on ofoste gefēng
3091a|micle mid mundum
3091b|mægen‐byrðenne
3092a|hord‐gestrēona,
3092b|hider ūt ætbær
3093a|cyninge mīnum:
3093b|cwico wæs þā gēna,
3094a|wīs and gewittig;
3094b|worn eall gespræc
3095a|gomol on gehðo
3095b|and ēowic grētan hēt,
3096a|bæd þæt gē geworhton
3096b|æfter wines dǣdum
3097a|in bǣl‐stede
3097b|beorh þone hēan
3098a|micelne and mǣrne,
3098b|swā hē manna wæs
3099a|wīgend weorð‐fullost
3099b|wīde geond eorðan,
3100a|þenden hē burh‐welan
3100b|brūcan mōste.
3101a|Uton nū efstan
3101b|ōðre sīðe
3102a|sēon and sēcean
3102b|searo‐geþræc,
3103a|wundur under wealle!
3103b|ic ēow wīsige,
3104a|þæt gē genōge
3104b|nēan scēawiað
3105a|bēagas and brād gold.
3105b|Sīe sīo bǣr gearo
3106a|ǣdre geæfned,
3106b|þonne wē ūt cymen,
3107a|and þonne geferian
3107b|frēan ūserne,
3108a|lēofne mannan,
3108b|þǣr hē longe sceal
3109a|on þæs waldendes
3109b|wǣre geþolian."
3110a|Hēt þā gebēodan
3110b|byre Wīhstānes,
3111a|hæle hilde‐dīor,
3111b|hæleða monegum
3112a|bold‐āgendra,
3112b|þæt hīe bǣl‐wudu
3113a|feorran feredon,
3113b|folc‐āgende
3114a|gōdum tōgēnes:
3114b|"Nū sceal glēd fretan
3115a|(weaxan wonna lēg)
3115b|wigena strengel,
3116a|þone þe oft gebād
3116b|īsern‐scūre,
3117a|þonne strǣla storm,
3117b|strengum gebǣded,
3118a|scōc ofer scild‐weall,
3118b|sceft nytte hēold,
3119a|feðer‐gearwum fūs
3119b|flāne full‐ēode."
3120a|Hūru se snotra
3120b|sunu Wīhstānes
3121a|ācīgde of corðre
3121b|cyninges þegnas
3122a|syfone tōsomne
3122b|þā sēlestan,
3123a|ēode eahta sum
3123b|under inwit‐hrōf;
3124a|hilde‐rinc sum
3124b|on handa bær
3125a|ǣled‐lēoman,
3125b|sē þe on orde gēong.
3126a|Næs þā on hlytme,
3126b|hwā þæt hord strude,
3127a|syððan or‐wearde
3127b|ǣnigne dǣl
3128a|secgas gesēgon
3128b|on sele wunian,
3129a|lǣne licgan:
3129b|lȳt ǣnig mearn,
3130a|þæt hī ofostlice
3130b|ūt geferedon
3131a|dȳre māðmas;
3131b|dracan ēc scufun,
3132a|wyrm ofer weall‐clif,
3132b|lēton wǣg niman,
3133a|flōd fæðmian
3133b|frætwa hyrde.
3134a|Þǣr wæs wunden gold
3134b|on wǣn hladen,
3135a|ǣghwæs unrīm,
3135b|æðeling boren,
3136a|hār hilde‐rinc
3136b|tō Hrones næsse.
3137a|Him þā gegiredan
3137b|Gēata lēode
3138a|ād on eorðan
3138b|un-wāclīcne,
3139a|helmum behongen,
3139b|hilde-bordum,
3140a|beorhtum byrnum,
3140b|swā hē bēna wæs;
3141a|ālegdon þā tō-middes
3141b|mǣrne þēoden
3142a|hæleð hīofende,
3142b|hlāford lēofne.
3143a|Ongunnon þā on beorge
3143b|bǣl-fȳra mǣst
3144a|wīgend weccan:
3144b|wudu-rēc āstāh
3145a|sweart ofer swioðole,
3145b|swōgende lēg,
3146a|wōpe bewunden
3146b|(wind-blond gelæg)
3147a|oð þæt hē þā bān-hūs
3147b|gebrocen hæfde,
3148a|hāt on hreðre.
3148b|Higum unrōte
3149a|mōd-ceare mǣndon
3149b|mon-dryhtnes cwealm;
3150a|swylce giōmor-gyd
3150b|lat . con meowle
3151a|. . . . .
3151b|wunden heorde . . .
3152a|serg (?) cearig sǣlde
3152b|geneahhe
3153a|þæt hīo hyre . . . .
3153b|gas hearde
3154a|. . . . . ede
3154b|wælfylla wonn . .
3155a|hildes egesan
3155b|hyðo
3156a|haf mid
3156b|heofon rēce swealh (?)
3157a|Geworhton þā
3157b|Wedra lēode
3158a|hlǣw on hlīðe,
3158b|sē wæs hēah and brād,
3159a|wǣg-līðendum
3159b|wīde gesȳne,
3160a|and betimbredon
3160b|on tȳn dagum
3161a|beadu-rōfes bēcn:
3161b|bronda betost
3162a|wealle beworhton,
3162b|swā hyt weorðlīcost
3163a|fore-snotre men
3163b|findan mihton.
3164a|Hī on beorg dydon
3164b|bēg and siglu,
3165a|eall swylce hyrsta,
3165b|swylce on horde ǣr
3166a|nīð-hȳdige men
3166b|genumen hæfdon;
3167a|forlēton eorla gestrēon
3167b|eorðan healdan,
3168a|gold on grēote,
3168b|þǣr hit nū gēn lifað
3169a|eldum swā unnyt,
3169b|swā hit ǣror wæs.
3170a|Þā ymbe hlǣw riodan
3170b|hilde-dēore,
3171a|æðelinga bearn
3171b|ealra twelfa,
3172a|woldon ceare cwīðan,
3172b|kyning mǣnan,
3173a|word-gyd wrecan
3173b|and ymb wer sprecan,
3174a|eahtodan eorl-scipe
3174b|and his ellen-weorc
3175a|duguðum dēmdon,
3175b|swā hit ge-dēfe bið,
3176a|þæt mon his wine-dryhten
3176b|wordum herge,
3177a|ferhðum frēoge,
3177b|þonne hē forð scile
3178a|of līc-haman
3178b|lǣne weorðan.
3179a|Swā begnornodon
3179b|Gēata lēode
3180a|hlāfordes hryre,
3180b|heorð-genēatas,
3181a|cwǣdon þæt hē wǣre
3181b|woruld-cyning
3182a|mannum mildust
3182b|and mon-þwǣrust,
3183a|lēodum līðost
3183b|and lof-geornost.
